Month,average
1,10.180068923575918
2,9.913357751202506
3,9.6350172782623
4,9.598162593170393
5,9.234005563282336
6,8.718214368751454
7,9.1189065223374
8,9.875239897283416
9,10.205440264203151
10,10.36942218830811
11,10.339215350351209
12,10.23230307021154
